"keys","ja","en","zh_CN","zh_TW","ko","ru"
"ビュッフェスタイルの食堂だ。[LF]誰もいないが、今のところ特に異常は見られない。","ビュッフェスタイルの食堂だ。[LF]誰もいないが、今のところ特に異常は見られない。","It's a buffet-style cafeteria.[LF]No one is here, but for now, no particular anomaly can be seen.","是一间自助式的餐厅。[LF]虽然没有任何人，但目前并未发现特别异常的地方。","是一間自助式的餐廳。[LF]雖然沒有任何人，但目前並未發現特別異常的地方。","뷔페 스타일 식당이다.[LF]아무도 없지만, 지금까지는 딱히 이상은 보이지 않는다.",""
"どうしようかと、一緒に行動していた探索メンバーと顔を見合わせた。","どうしようかと、一緒に行動していた探索メンバーと顔を見合わせた。","Unsure of what to do, I exchanged glances with the exploration members I was moving with.","正犹豫该怎么办时，与一起行动的探索队员互相对望了一眼。","正猶豫該怎麼辦時，與一起行動的探索隊員互相對望了一眼。","어떡하지 하면서, 같이 움직이던 탐색 멤버와 얼굴을 마주봤다.",""
"そこで異常に気付いた。[LF]対面したメンバーの背後が、赤黒い世界に変貌していた。謎の肉塊が散乱し、黒い影がゆらめいている。[LF]メンバーもこちらの背後を見て驚き、続けて後ろを見た。[LF]メンバーの背後が正常な食堂に戻った刹那、自分の視界が赤く染まった。","そこで異常に気付いた。[LF]対面したメンバーの背後が、赤黒い世界に変貌していた。謎の肉塊が散乱し、黒い影がゆらめいている。[LF]メンバーもこちらの背後を見て驚き、続けて後ろを見た。[LF]メンバーの背後が正常な食堂に戻った刹那、自分の視界が赤く染まった。","That was when I noticed the anomaly.[LF]The space behind the members facing me had transformed into a reddish-black world. Mysterious lumps of flesh lay scattered about, and dark shadows flickered.[LF]The members also looked behind me in shock, and then turned around to look behind themselves.[LF]The instant the space behind the members reverted to the normal cafeteria, my own vision was dyed red.","就在这时，我注意到了异常之处。[LF]站在对面的队员身后，已经变成了一片赤红与漆黑交织的世界。散落著不明的肉块，黑色的影子摇晃不定。[LF]队员看到我身后的景象也吓了一跳，接著也转头看向自己的后方。[LF]就在队员身后恢复成正常餐厅的刹那，自己的视野染上了一片红色。","就在這時，我注意到了異常之處。[LF]站在對面的隊員身後，已經變成了一片赤紅與漆黑交織的世界。散落著不明的肉塊，黑色的影子搖晃不定。[LF]隊員看到我身後的景象也嚇了一跳，接著也轉頭看向自己的後方。[LF]就在隊員身後恢復成正常餐廳的剎那，自己的視野染上了一片紅色。","그때 이상을 알아챘다.[LF]맞은 편에 있던 멤버의 등 뒤가 붉고 검은 세계로 변해 있었다. 정체불명의 살덩어리가 흩어져 있고, 검은 그림자가 흔들리고 있었다.[LF]멤버도 내 뒤쪽을 보고 놀라더니, 이어서 뒤를 돌아봤다.[LF]멤버의 뒤가 정상적인 식당으로 돌아온 그 순간, 내 시야가 붉게 물들었다.",""
"この階は、「視界の範囲外に異常な世界が有る」階だった。[LF]ぼんやりと見えるエレベーターの入り口の床に、「KEEP ALONE」と書いてある。[LF]複数人で来てしまい他人の死角を見た事で、異常に気付いた。[LF]そして今、自分は他人の死角・・・赤黒い世界に来てしまった。","この階は、「視界の範囲外に異常な世界が有る」階だった。[LF]ぼんやりと見えるエレベーターの入り口の床に、「KEEP ALONE」と書いてある。[LF]複数人で来てしまい他人の死角を見た事で、異常に気付いた。[LF]そして今、自分は他人の死角・・・赤黒い世界に来てしまった。","This floor was a floor where ""an abnormal world exists outside one's field of vision.""[LF]On the floor at the vaguely visible elevator entrance, it says ""KEEP ALONE.""[LF]Because we came with multiple people and looked into others' blind spots, I noticed the anomaly.[LF]And now, I have ended up in someone else's blind spot... the reddish-black world.","这层楼是「视野范围之外存在著异常世界」的楼层。[LF]隐约可见的电梯入口地板上，写著「KEEP ALONE」。[LF]因为跟其他人一起前来，看到了他人的死角，才察觉到了异常。[LF]而现在，自己也来到了他人的死角……那个赤红与漆黑交织的世界。","這層樓是「視野範圍之外存在著異常世界」的樓層。[LF]隱約可見的電梯入口地板上，寫著「KEEP ALONE」。[LF]因為跟其他人一起前來，看到了他人的死角，才察覺到了異常。[LF]而現在，自己也來到了他人的死角……那個赤紅與漆黑交織的世界。","이 층은,「시야 범위 밖에 이상한 세계가 존재하는」층이었다.[LF]희미하게 보이는 엘리베이터 입구 바닥에는, 「KEEP ALONE」이라고 적혀 있다.[LF]여러 명이 와서 서로의 사각지대를 보게 되면서 이상을 눈치챈 것이다.[LF]그리고 지금, 나는 타인의 사각지대・・・ 붉고 검은 세계에 들어와 버렸다.",""
"[color=green]●「転送耐性」スキル発動しました。転送酔いを防止しました。[/color]","[color=green]●「転送耐性」スキル発動しました。転送酔いを防止しました。[/color]","[color=green]● ""Warp Proof"" skill activated. Teleportation sickness has been prevented.[/color]","[color=green]●发动了「传送耐性」技能。防止了传送晕眩。[/color]","[color=green]●發動了「傳送耐性」技能。防止了傳送暈眩。[/color]","[color=green]●「전송 내성」 스킬이 발동했습니다. 전송 멀미를 방지했습니다.",""
"[color=green]●激しい転送酔いを起こしました。[/color]","[color=green]●激しい転送酔いを起こしました。[/color]","[color=green]● Suffered from severe teleportation sickness.[/color]","[color=green]●引发了剧烈的传送晕眩。[/color]","[color=green]●引發了劇烈的傳送暈眩。[/color]","[color=green]●심한 전송 멀미가 발생했습니다.[/color]",""
"様々な食事が用意されていた。多くの人に知られている階のはずだが、[LF]店内の壁などに食事が危ないという注意書きは特にない。","様々な食事が用意されていた。多くの人に知られている階のはずだが、[LF]店内の壁などに食事が危ないという注意書きは特にない。","A variety of meals were prepared. This is supposed to be a floor known to many people, but [LF] there are no particular warnings on the walls inside the shop stating that the food is dangerous.","这里准备了各式各样的餐点。虽然应该是个广为人知的楼层，[LF]但店内墙面等处，并没有特别写著餐点具有危险性的提醒。","這裡準備了各式各樣的餐點。雖然應該是個廣為人知的樓層，[LF]但店內牆面等處，並沒有特別寫著餐點具有危險性的提醒。","다양한 음식이 준비되어 있었다. 많은 사람들에게 알려진 층일 텐데,[LF]가게 안 벽이나 안내문에는 음식이 위험하다는 경고 문구는 따로 없다.",""
"いや、入口あたりの床に「KEEP ALONE」と書いてあるが・・[LF]今は1人だし、食べても問題ないだろう。","いや、入口あたりの床に「KEEP ALONE」と書いてあるが・・[LF]今は1人だし、食べても問題ないだろう。","No, wait, it says ""KEEP ALONE"" on the floor near the entrance, but... [LF] I'm alone right now, so it should be fine to eat.","不，入口附近的地板上确实写著「KEEP ALONE」……[LF]不过现在只有自己一个人，吃了应该也没问题吧。","不，入口附近的地板上確實寫著「KEEP ALONE」……[LF]不過現在只有自己一個人，吃了應該也沒問題吧。","아니, 입구 근처 바닥에 「KEEP ALONE」이라고 적혀 있긴 하지만・・[LF]지금은 나 혼자니까, 먹어도 문제 없겠지.",""
"配膳卓には「準備中」の札が置いてあるだけだった。[LF]誰もいないし、待っていても補充される事はなさそうだ。[LF]日を改めてまた来よう。","配膳卓には「準備中」の札が置いてあるだけだった。[LF]誰もいないし、待っていても補充される事はなさそうだ。[LF]日を改めてまた来よう。","There was only a ""Under Preparation"" sign placed on the serving table. [LF] No one is here, and it doesn't look like it will be replenished even if I wait. [LF] Let's come back another day.","配膳台上只放著一张「准备中」的牌子。[LF]这里谁也没有，就算等下去似乎也不会有人补充餐点。[LF]改天再来吧。","配膳台上只放著一張「準備中」的牌子。[LF]這裡誰也沒有，就算等下去似乎也不會有人補充餐點。[LF]改天再來吧。","배식 테이블에는 「준비중」이라는 팻말만 놓여 있었다.[LF]아무도 없고, 기다린다고 해서 음식이 채워질 것 같지도 않다.[LF]다음에 다시 오자.",""
"洋館風の内装だが、壁には様々な大きさの、作成途中に見える人形が吊るされている。[LF]机の上には裁縫道具やハギレ等がある。人形を作っている工房のようだ。","洋館風の内装だが、壁には様々な大きさの、作成途中に見える人形が吊るされている。[LF]机の上には裁縫道具やハギレ等がある。人形を作っている工房のようだ。","The interior is in the style of a Western manor, but hanging from the walls are dolls of various sizes that appear to be in the process of being made.[LF]On the desk are sewing tools and scraps of fabric. It looks like a workshop where dolls are crafted.","内部装潢呈洋房风格，墙上悬吊著各种尺寸、看起来还在制作中的人偶。[LF]桌上摆著裁缝工具与碎布等物品。看起来像是一间制作人偶的工坊。","內部裝潢呈洋房風格，牆上懸吊著各種尺寸、看起來還在製作中的人偶。[LF]桌上擺著裁縫工具與碎布等物品。看起來像是一間製作人偶的工坊。","서양 저택 같은 내부지만, 벽에는 크기도 제각각인, 아직 제작 중으로 보이는 인형들이 매달려 있다.[LF]책상 위에는 재봉 도구와 천 조각들이 놓여 있다. 인형을 만드는 공방 같다.",""
"広大な室内をしばらく奥へと進むと、突き当りにドアがあった。[LF]灯りが漏れており、何者かの気配がある。[LF]工房の職人？　まともな人間がいるとは思えないが・・・","広大な室内をしばらく奥へと進むと、突き当りにドアがあった。[LF]灯りが漏れており、何者かの気配がある。[LF]工房の職人？　まともな人間がいるとは思えないが・・・","After advancing further into the vast room for a while, there was a door at the far end.[LF]Light is leaking out, and there is a presence of someone inside.[LF]The workshop's artisan? I can't imagine a sane human being here, but...","在宽广的室内往深处前进一段时间后，尽头出现了一道门。[LF]门缝间透出光线，能感觉到有什么人的气息。[LF]是工坊的工匠吗？虽然不认为这里会有正常的人类……","在寬廣的室內往深處前進一段時間後，盡頭出現了一道門。[LF]門縫間透出光線，能感覺到有什麼人的氣息。[LF]是工坊的工匠嗎？雖然不認為這裡會有正常的人類……","넓은 내부를 한참 더 안쪽으로 가다 보면 막다른 곳에 문이 하나 있었다.[LF]불빛이 새어 나오고 있고, 누군가의 기척이 느껴진다.[LF]공방의 장인? 정상적인 인간이 있을 거라고는 생각되지 않지만・・・",""
"ドアには木の札がいくつか下げられていて、人形の大きさと値段が書いてある。[LF]好きな木の札を取り、お金と一緒にドアの穴に投入すれば、[LF]自分にそっくりな人形を作って貰えるようだ。","ドアには木の札がいくつか下げられていて、人形の大きさと値段が書いてある。[LF]好きな木の札を取り、お金と一緒にドアの穴に投入すれば、[LF]自分にそっくりな人形を作って貰えるようだ。","Several wooden tags are hanging from the door, with the sizes and prices of the dolls written on them.[LF]It seems that if you take your preferred wooden tag and insert it along with the money into the slot in the door,[LF]you can have a doll crafted that looks exactly like you.","门上挂著几块木牌，上面写著人偶的尺寸与价格。[LF]看起来只要拿取喜欢的木牌，连同钱一起投入门上的洞口，[LF]就能请对方做出一个跟自己长得一模一样的人偶。","門上掛著幾塊木牌，上面寫著人偶的尺寸與價格。[LF]看起來只要拿取喜歡的木牌，連同錢一起投入門上的洞口，[LF]就能請對方做出一個跟自己長得一模一樣的人偶。","문에는 나무 팻말이 여러 개 걸려 있고, 인형의 크기와 가격이 적혀 있다.[LF]원하는 나무 팻말을 집어 돈과 함께 문 구멍에 넣으면,[LF]자기와 똑같이 생긴 인형을 만들어 주는 모양이다.",""
"１の札を入れる","１の札を入れる","Insert Tag 1","投入1号木牌","投入1號木牌","1번 팻말을 넣는다",""
"２の札を入れる","２の札を入れる","Insert Tag 2","投入2号木牌","投入2號木牌","2번 팻말을 넣는다",""
"３の札を入れる","３の札を入れる","Insert Tag 3","投入3号木牌","投入3號木牌","3번 팻말을 넣는다",""
"[color=green]●お金が足りません。[/color]","[color=green]●お金が足りません。[/color]","[color=green]●Not enough money.[/color]","[color=green]●金钱不足。[/color]","[color=green]●金錢不足。[/color]","[color=green]●돈이 부족합니다.[/color]",""
"札を入れると、工房のあちこちからミシンの音が聴こえてきた。[LF]それが止むと、遠くの方から地響きと、自分にそっくりな唸り声が・・・。","札を入れると、工房のあちこちからミシンの音が聴こえてきた。[LF]それが止むと、遠くの方から地響きと、自分にそっくりな唸り声が・・・。","When the ticket was inserted, the sounds of sewing machines could be heard coming from all over the workshop.[LF]Once they stopped, a rumbling from the ground and a groaning sound that sounded exactly like myself came from the distance...","投入木牌后，工坊各处传来了缝纫机的声音。[LF]声音停止后，远处传来了地鸣声，以及跟自己十分相似的低吼……。","投入木牌後，工坊各處傳來了縫紉機的聲音。[LF]聲音停止後，遠處傳來了地鳴聲，以及跟自己十分相似的低吼……。","팻말을 넣자, 공방 곳곳에서 미싱 소리가 들려오기 시작했다.[LF]그 소리가 멈추자, 먼 곳에서 지진 같은 진동과 함께・・・ 나와 똑같이 생긴 신음 소리가 들려왔다.",""
"自分にそっくりな巨大人形は明らかに自分を探していた。","自分にそっくりな巨大人形は明らかに自分を探していた。","The giant doll, which looked exactly like me, was clearly searching for me.","那个跟自己长得一模一样的巨大人偶，显然是在寻找自己。","那個跟自己長得一模一樣的巨大人偶，顯然是在尋找自己。","나와 똑같이 생긴 거대 인형은 명백히 나를 찾고 있었다.",""
"先人探索者が残したと思われるメモ書きに従い、[LF]自分にそっくりな人形に見つからないルートを通ってエレベーター前まで戻ってくることができた。","先人探索者が残したと思われるメモ書きに従い、[LF]自分にそっくりな人形に見つからないルートを通ってエレベーター前まで戻ってくることができた。","Following a memo seemingly left behind by a previous investigator,[LF]I was able to return to the front of the elevator by taking a route that avoided being spotted by the doll that looked exactly like myself.","按照前辈探索者似乎留下的笔记指示，[LF]走过不会被那个跟自己长得一模一样的人偶发现的路线，成功回到了电梯前。","按照前輩探索者似乎留下的筆記指示，[LF]走過不會被那個跟自己長得一模一樣的人偶發現的路線，成功回到了電梯前。","선행 탐색자가 남긴 것으로 보이는 메모를 따라,[LF]그 인형에게 들키지 않는 루트를 통해 엘리베이터 앞까지 돌아올 수 있었다.",""
"また、逃走中に、階情報を示す資料を見つけた。[LF]「клиент：[outline_size=8][outline_color=red]Ж-13-А-７[/outline_color][/outline_size]」","また、逃走中に、階情報を示す資料を見つけた。[LF]「клиент：[outline_size=8][outline_color=red]Ж-13-А-７[/outline_color][/outline_size]」","Also, while fleeing, I discovered a document indicating floor information.[LF]「клиент：[outline_size=8][outline_color=red]Ж-13-А-７[/outline_color][/outline_size]」","此外，在逃跑途中，发现了一份标示楼层资讯的资料。[LF]「клиент：[outline_size=8][outline_color=red]Ж-13-А-７[/outline_color][/outline_size]」","此外，在逃跑途中，發現了一份標示樓層資訊的資料。[LF]「клиент：[outline_size=8][outline_color=red]Ж-13-А-７[/outline_color][/outline_size]」","또한 도주 중에 층 정보를 나타내는 자료를 발견했다.[LF]「клиент：[outline_size=8][outline_color=red]Ж-13-А-７[/outline_color][/outline_size]」",""
"人形と様々なドールハウスが並んだ部屋に出た。[LF]売り物っぽく並んでいるが、例によって店員は見かけない。[LF]中央の目立つ位置に、ひときわ大きなドールハウスがあった。[LF]覗き込むと、この店内を模したものだった。","人形と様々なドールハウスが並んだ部屋に出た。[LF]売り物っぽく並んでいるが、例によって店員は見かけない。[LF]中央の目立つ位置に、ひときわ大きなドールハウスがあった。[LF]覗き込むと、この店内を模したものだった。","I emerged into a room lined with dolls and various dollhouses. [LF]They were arranged as if for sale, but as usual, no clerk was to be seen. [LF]In a prominent position in the center, there was a particularly large dollhouse. [LF]When I peered inside, it turned out to be modeled after the interior of this very shop.","来到一间摆满了人偶与各种娃娃屋的房间。[LF]虽然排列得像是商品一样，但照例完全看不到店员的身影。[LF]在中央显眼的位置，摆著一座格外巨大的娃娃屋。[LF]往里面一看，发现它模仿的正是这间店内的景象。","來到一間擺滿了人偶與各種娃娃屋的房間。[LF]雖然排列得像是商品一樣，但照例完全看不到店員的身影。[LF]在中央顯眼的位置，擺著一座格外巨大的娃娃屋。[LF]往裡面一看，發現它模仿的正是這間店內的景象。","인형과 다양한 인형의 집이 늘어선 방에 도착했다.[LF]판매용처럼 진열돼 있지만, 역시나 점원은 보이지 않는다.[LF]중앙의 눈에 띄는 위치에 유독 큰 인형의 집이 하나 있었다.[LF]들여다보니 이 매장 내부를 그대로 본뜬 모형이었다.",""
"ドールハウス内中央に、自分にそっくりな人形が鎮座していた。","ドールハウス内中央に、自分にそっくりな人形が鎮座していた。","Sitting prominently in the center of the dollhouse was a doll that looked exactly like me.","娃娃屋的正中央，端坐著一个跟自己长得一模一样的人偶。","娃娃屋的正中央，端坐著一個跟自己長得一模一樣的人偶。","인형의 집 안 중앙에, 나와 똑같이 생긴 인형이 떡하니 자리 잡고 있었다.",""
"自分にそっくりな人形を調べる","自分にそっくりな人形を調べる","Examine the doll that looks just like me","调查跟自己长得一模一样的人偶","調查跟自己長得一模一樣的人偶","나와 똑같이 생긴 인형을 조사한다",""
"棚の模型を調べる","棚の模型を調べる","Examine the shelf model","调查架子的模型","調查架子的模型","선반 모형을 조사한다",""
"しばらく眺めていたが、特に何も起こりそうになかった。","しばらく眺めていたが、特に何も起こりそうになかった。","I watched for a while, but nothing seemed likely to happen.","看了一段时间，似乎没有发生什么特别的事。","看了一段時間，似乎沒有發生什麼特別的事。","한동안 바라봤지만, 딱히 아무 일도 일어날 것 같진 않았다.",""
"自分にそっくりな人形を掴み、調べた。[LF]ただの人形で、特におかしなところは無い・・そう思った時、[LF]自分の体が宙に浮いた。","自分にそっくりな人形を掴み、調べた。[LF]ただの人形で、特におかしなところは無い・・そう思った時、[LF]自分の体が宙に浮いた。","I grabbed the doll that looked exactly like me and examined it.[LF]It was just an ordinary doll, with nothing particularly strange about it... right when I thought that,[LF]my body floated up into the air.","抓起那个跟自己长得一模一样的人偶，仔细查看。[LF]只是个普通的人偶，没有什么特别奇怪的地方……正当这么想的时候，[LF]自己的身体竟悬浮到了半空中。","抓起那個跟自己長得一模一樣的人偶，仔細查看。[LF]只是個普通的人偶，沒有什麼特別奇怪的地方……正當這麼想的時候，[LF]自己的身體竟懸浮到了半空中。","나와 똑같이 생긴 인형을 잡아 조사했다.[LF]그냥 평범한 인형일 뿐, 이상한 점은 없어 보였다・・ 그렇게 생각한 순간,[LF]내 몸이 공중으로 떠올랐다.",""
"黒いもやのような巨大な手に掴まれている！[LF]天井をすり抜けてさらに上昇し、視界が赤く染まっていった・・・","黒いもやのような巨大な手に掴まれている！[LF]天井をすり抜けてさらに上昇し、視界が赤く染まっていった・・・","I'm being grabbed by a massive hand made of black mist![LF]It passed right through the ceiling, rising even higher, and my vision began to dye red...","被一只像黑雾般的巨大手掌抓住了！[LF]穿过天花板继续往上升，视野逐渐染上了一片红色……","被一隻像黑霧般的巨大手掌抓住了！[LF]穿過天花板繼續往上升，視野逐漸染上了一片紅色……","검은 안개 같은 거대한 손에 붙잡혀 있다![LF]천장을 뚫고 더 위로 끌려 올라가며 시야가 붉게 물들어 갔다・・・",""
"人形も気になるが、純粋にドールハウスの精巧さに見惚れていた。[LF]例えばこの、棚ひとつ見ても・・・","人形も気になるが、純粋にドールハウスの精巧さに見惚れていた。[LF]例えばこの、棚ひとつ見ても・・・","The dolls are intriguing too, but I was genuinely fascinated by the exquisite craftsmanship of the dollhouse. [LF]For instance, just looking at this single shelf...","虽然也对人偶感到在意，但更纯粹是被娃娃屋的精巧程度给看得入神了。[LF]例如光看这个架子……","雖然也對人偶感到在意，但更純粹是被娃娃屋的精巧程度給看得入神了。[LF]例如光看這個架子……","인형도 신경 쓰이지만, 단순히 인형 집의 정교함에 넋을 잃고 있었다.[LF]예를 들어 이 선반 하나만 봐도・・・",""
"そう思いながら、棚の模型を掴んで鑑賞しようとしたとき、[LF]背後で風が吹いたような気がした。[LF]振り返ると、そこに置かれていた本物の棚が、巨大な黒い手によって[LF]空中に浮かび上がり、天井へ吸い込まれるように消えていた。","そう思いながら、棚の模型を掴んで鑑賞しようとしたとき、[LF]背後で風が吹いたような気がした。[LF]振り返ると、そこに置かれていた本物の棚が、巨大な黒い手によって[LF]空中に浮かび上がり、天井へ吸い込まれるように消えていた。","As that thought crossed my mind, I grabbed the model shelf to admire it, [LF]and felt what seemed like a gust of wind behind me. [LF]When I turned around, the actual shelf that had been standing there was lifted into the air [LF]by a massive black hand, vanishing as if sucked into the ceiling.","一边这么想著，正打算抓起架子的模型来欣赏时，[LF]感觉背后仿佛吹过一阵风。[LF]回头一看，原本摆在那里的真实架子，被一只巨大的黑手抓住，[LF]浮到了半空中，仿佛被吸进天花板般消失了。","一邊這麼想著，正打算抓起架子的模型來欣賞時，[LF]感覺背後彷彿吹過一陣風。[LF]回頭一看，原本擺在那裡的真實架子，被一隻巨大的黑手抓住，[LF]浮到了半空中，彷彿被吸進天花板般消失了。","그렇게 생각하며 선반 모형을 집어 들려던 순간,[LF]등 뒤에서 바람 같은 기척이 느껴졌다.[LF]뒤를 돌아보니, 그 자리에 있던 진짜 선반이 거대한 검은 손에 의해[LF]공중으로 떠오르더니 천장으로 빨려 들어가듯 사라졌다.",""
"そして、棚が消えたところの壁に、こう書かれていた。[LF]「Don't touch ANYTHING」","そして、棚が消えたところの壁に、こう書かれていた。[LF]「Don't touch ANYTHING」","And on the wall where the shelf had disappeared, this was written: [LF]""Don't touch ANYTHING""","而在架子消失的地方，墙上写著这样的字句：[LF]「Don't touch ANYTHING」","而在架子消失的地方，牆上寫著這樣的字句：[LF]「Don't touch ANYTHING」","그리고 선반이 사라진 벽에는 이렇게 적혀 있었다.[LF]「Don't touch ANYTHING」",""
"背後の扉が開き、ぶかぶかの制服のようなものを着たフレンズが現れた。[LF]「あぶないところでしたね！[LF]　もし自分の人形を掴んでいたら、どうなっていたか。[LF]　あ、その棚は戻しておいた方がいいと思いますよ」","背後の扉が開き、ぶかぶかの制服のようなものを着たフレンズが現れた。[LF]「あぶないところでしたね！[LF]　もし自分の人形を掴んでいたら、どうなっていたか。[LF]　あ、その棚は戻しておいた方がいいと思いますよ」","The door behind me opened, and a Friend wearing what looked like a baggy uniform appeared. [LF]""That was a close call! [LF] I wonder what would have happened if you had grabbed your own doll. [LF] Oh, and I think it would be best to put that shelf back.""","身后的门打开了，一只穿著宽松制服般服装的Friends出现了。[LF]「真是好险呢！[LF]　要是抓的是你自己的人偶，后果还真不知道会怎样。[LF]　啊，我觉得那个架子最好还是放回去比较好哟。」","身後的門打開了，一隻穿著寬鬆制服般服裝的Friends出現了。[LF]「真是好險呢！[LF]　要是抓的是你自己的人偶，後果還真不知道會怎樣。[LF]　啊，我覺得那個架子最好還是放回去比較好喲。」","뒤쪽 문이 열리며 헐렁한 제복 같은 걸 입은 프렌즈가 나타났다.[LF]「위험할 뻔했네요![LF]　만약 자기 인형을 집어 들었으면 어떻게 됐을지…[LF]　아, 그 선반은 다시 되돌려 두는 게 좋을 것 같아요」",""
"呆然と棚の模型を掴んでいたままだったことに気付き、慌てて戻した。[LF]黒い巨大な手に掴まれた棚が上から降りてきた。","呆然と棚の模型を掴んでいたままだったことに気付き、慌てて戻した。[LF]黒い巨大な手に掴まれた棚が上から降りてきた。","Realizing I was still standing there dazed, clutching the model shelf, I hurriedly placed it back. [LF]The actual shelf that had been seized by the massive black hand descended from above.","我这才惊觉自己仍呆呆地抓著架子的模型，慌忙把它放回原处。[LF]被巨大黑手抓住的架子，从上方缓缓降了下来。","我這才驚覺自己仍呆呆地抓著架子的模型，慌忙把它放回原處。[LF]被巨大黑手抓住的架子，從上方緩緩降了下來。","멍하니 선반 모형을 아직 들고 있었다는 걸 깨닫고 급히 내려놓았다.[LF]검은 거대한 손에 붙잡혔던 선반이 위에서 다시 내려왔다.",""
"「以前にですね、自分の人形を掴んでしまった方がいまして。[LF]　床に落ちていた人形をドールハウスの中に戻したら、助ける事ができました。[LF]　私はエレベーターガールで、その方は家に帰りたがっていたのでお連れしたんですが・・・","「以前にですね、自分の人形を掴んでしまった方がいまして。[LF]　床に落ちていた人形をドールハウスの中に戻したら、助ける事ができました。[LF]　私はエレベーターガールで、その方は家に帰りたがっていたのでお連れしたんですが・・・","""You see, some time ago, there was someone who grabbed their own doll. [LF] I was able to save them by putting the doll that had fallen on the floor back inside the dollhouse. [LF] I am an elevator girl, and since that person wanted to go home, I took them there, but...","「之前曾经有人不小心抓住了自己的人偶呢。[LF]　把掉在地上的人偶放回娃娃屋里之后，就成功救回对方了。[LF]　我是电梯小姐，那位客人说想回家，所以我就带他过去了，不过……","「之前曾經有人不小心抓住了自己的人偶呢。[LF]　把掉在地上的人偶放回娃娃屋裡之後，就成功救回對方了。[LF]　我是電梯小姐，那位客人說想回家，所以我就帶他過去了，不過……","「예전에요, 자기 인형을 집어버린 사람이 있었거든요.[LF]　바닥에 떨어진 인형을 인형 집 안으로 되돌려 놓으니 구할 수 있었어요.[LF]　저는 엘리베이터 걸이고, 그 사람은 집으로 돌아가고 싶어 해서 데려다 준 건데・・・",""
"　確か、[outline_size=8][outline_color=red]Г-12-５-Б-15-３↗↙[/outline_color][/outline_size]だったかな？[LF]　ちなみにあなたは、どこか行きたいところはありますか？」","　確か、[outline_size=8][outline_color=red]Г-12-５-Б-15-３↗↙[/outline_color][/outline_size]だったかな？[LF]　ちなみにあなたは、どこか行きたいところはありますか？」"," If I recall correctly, was it [outline_size=8][outline_color=red]Г-12-５-Б-15-３↗↙[/outline_color][/outline_size]? [LF] By the way, is there somewhere you would like to go?""","　我记得好像是[outline_size=8][outline_color=red]Г-12-５-Б-15-３↗↙[/outline_color][/outline_size]吧？[LF]　顺带一问，您有没有什么想去的地方呢？」","　我記得好像是[outline_size=8][outline_color=red]Г-12-５-Б-15-３↗↙[/outline_color][/outline_size]吧？[LF]　順帶一問，您有沒有什麼想去的地方呢？」","　아마, [outline_size=8][outline_color=red]Г-12-５-Б-15-３↗↙[/outline_color][/outline_size]였던가요?[LF]　그런데 당신은, 가고 싶은 곳이라도 있나요?」",""
"ひとまずエントランスに戻ろうと思うことを伝えると、[LF]全然違う階に連れて行かれたので、自分で操作した。","ひとまずエントランスに戻ろうと思うことを伝えると、[LF]全然違う階に連れて行かれたので、自分で操作した。","When I told her that I intended to return to the entrance for the time being, [LF]she took me to an entirely different floor, so I operated the controls myself.","我告诉她自己暂时想先回到大厅，[LF]结果却被带到了完全不同的楼层，于是只好自己操作。","我告訴她自己暫時想先回到大廳，[LF]結果卻被帶到了完全不同的樓層，於是只好自己操作。","일단 로비로 돌아가겠다고 하자 전혀 다른 층으로 보내버려서, 결국 내가 직접 조작했다.",""
"彼女が噂には聴いていた、エレベーターガールの真似をして遊ぶフレンズだろう。[LF]行きたい階を伝えても、全くデタラメな階に連れていかれるという。[LF]強制的に放りだされるような事はないので、落ち着いて自分でボタンを押しなおせばよく、実害はないのだが。","彼女が噂には聴いていた、エレベーターガールの真似をして遊ぶフレンズだろう。[LF]行きたい階を伝えても、全くデタラメな階に連れていかれるという。[LF]強制的に放りだされるような事はないので、落ち着いて自分でボタンを押しなおせばよく、実害はないのだが。","She must be the Friend rumored to play around pretending to be an elevator girl. [LF]They say that even if you tell her your destination floor, she will take you to a completely random one. [LF]Since she won't forcefully throw you out, there is no real harm; you just need to stay calm and press the correct button yourself.","她应该就是传闻中那位喜欢模仿电梯小姐玩耍的Friends吧。[LF]即使告诉她想去的楼层，据说也只会被带到完全随机的楼层。[LF]虽然不会被强制赶下电梯，只要冷静地重新按一次按钮就好，并没有实际的危害。","她應該就是傳聞中那位喜歡模仿電梯小姐玩耍的Friends吧。[LF]即使告訴她想去的樓層，據說也只會被帶到完全隨機的樓層。[LF]雖然不會被強制趕下電梯，只要冷靜地重新按一次按鈕就好，並沒有實際的危害。","소문으로만 들었던, 엘리베이터 걸 흉내를 내며 노는 프렌즈일 것이다.[LF]가고 싶은 층을 말해도 엉뚱한 곳으로 데려간다고 한다.[LF]강제로 내던져지진 않으니 침착하게 직접 버튼을 누르면 그만이라 실질적인 해는 없지만.",""
